CO2 emissions (kg per 2005 PPP $ of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bulgaria,,,,,,,,,,,,,,,,,,,,,1.499773106,1.482421592,1.625066784,1.575261906,1.472944903,1.470155489,1.442514339,1.361797431,1.169709672,1.203610973,1.184240001,0.993556789,0.961909282,1.262850864,0.99914313,1.040178364,1.083907046,1.043517796,0.945312019,0.799630834,0.748567753,0.766984568,0.704207186,0.70743627,0.655419926,0.631016917,0.604939086,0.613492367,0.552807703,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,0.096383788,0.11908784,0.112269749,0.115445793,0.092142741,0.086916358,0.081130703,0.087530754,0.08860351,0.128671538,0.092465744,0.090604912,0.090923177,0.087370331,0.088757847,0.081573283,0.082933211,0.088918435,0.08851279,0.089073948,0.097788322,0.087817812,0.084492774,0.083910058,0.082102692,0.078737203,0.090186835,0.105358002,0.113079118,,,
Burundi,,,,,,,,,,,,,,,,,,,,,0.082502397,0.079072296,0.079914272,0.100346212,0.107346826,0.100832851,0.102309183,0.107257664,0.097923271,0.113182714,0.110689071,0.119392842,0.109396978,0.123383277,0.129691587,0.137817681,0.148155653,0.143858305,0.130947228,0.129056867,0.133426573,0.094068186,0.091589995,0.06954352,0.06486286,0.065745308,0.075048152,0.067074159,0.062902132,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061123896,0.0633523,0.158713698,0.170537488,0.189101479,0.210902737,0.185363316,0.174974914,0.189870224,0.192531198,0.194044882,0.196682842,0.184776018,0.182585886,0.180578545,0.175402426,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,0.213632183,0.249622633,0.275674499,0.267951158,0.229198556,0.226733068,0.065774186,0.062178892,0.080387807,0.282836348,0.068546463,0.045552592,0.160578372,0.1703745,0.171126571,0.189370958,0.190204515,0.126466058,0.120124285,0.110465662,0.1181289,0.112664309,0.108205545,0.115507773,0.116119668,0.106043351,0.118530397,0.165628727,0.13837658,,,
Canada,,,,,,,,,,,,,,,,,,,,,0.755322629,0.708564821,0.701694189,0.677802448,0.655958069,0.618554361,0.581940003,0.593563083,0.596455392,0.589297952,0.601126816,0.612576463,0.632408534,0.631529925,0.573041145,0.56388577,0.564670207,0.559549498,0.532683026,0.503694064,0.538275652,0.518734504,0.498928775,0.519415417,0.505872606,0.497170063,0.47141291,0.457454836,0.454258418,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,0.109682067,0.115625202,0.104354876,0.217425686,0.20150666,0.136759557,0.183245522,0.15716203,0.163557218,0.177178806,0.181990186,0.197391679,0.184378102,0.184745469,0.177592313,0.209315238,0.20381705,0.204371773,0.210590925,0.195567298,0.205935676,0.229919272,0.226189563,0.226336681,0.236090025,0.225068601,0.209617807,0.195062471,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,,,,,,,,,,,0.04895314,0.063437247,0.062076626,0.069299959,0.064880754,0.066996968,0.064682645,0.109797187,0.095787446,0.101384926,0.082278609,0.085799947,0.096602188,0.099543224,0.099560337,0.092873446,0.096743175,0.096180445,0.093233983,0.095287965,0.094439305,0.086451547,0.086958156,0.089896653,0.089006587,0.086920495,0.088972087,0.087059305,0.087826239,,,
Chad,,,,,,,,,,,,,,,,,,,,,0.070564456,0.069836123,0.065128748,0.056301409,0.058126601,0.039636699,0.04301005,0.046654541,0.013466571,0.0199724,0.02977619,0.013031439,0.015241246,0.020342114,0.019153915,0.01891996,0.019171134,0.019396709,0.018135972,0.019438773,0.028525512,0.025014953,0.022566547,0.044472872,0.032960754,0.029728155,0.0302132,0.034227609,0.036819717,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,0.421138638,0.390768809,0.365860347,0.384385034,0.379240481,0.342924724,0.335992753,0.321234016,0.355509124,0.386755925,0.401934232,0.351887598,0.324101874,0.322213263,0.337217551,0.331133713,0.35009015,0.378316158,0.378888698,0.40275118,0.3722508,0.32368146,0.328804774,0.318314945,0.332241936,0.32165769,0.316661885,0.323012176,0.324983064,,,
